Date	1 Mo	3 Mo	6 Mo	1 Yr	2 Yr	3 Yr	5 Yr	7 Yr	10 Yr	20 Yr	30 Yr
01/02/15	0.02	0.02	0.11	0.25	0.66	1.07	1.61	1.92	2.12	2.41	2.69
01/05/15	0.02	0.03	0.10	0.26	0.68	1.06	1.57	1.85	2.04	2.32	2.60
01/06/15	0.02	0.03	0.10	0.25	0.65	1.02	1.50	1.78	1.97	2.25	2.52
01/07/15	0.02	0.03	0.09	0.25	0.62	1.00	1.47	1.76	1.96	2.25	2.52
01/08/15	0.01	0.03	0.08	0.23	0.62	1.00	1.50	1.81	2.03	2.33	2.59
01/09/15	0.02	0.02	0.08	0.22	0.59	0.96	1.45	1.75	1.98	2.29	2.55
01/12/15	0.02	0.03	0.09	0.19	0.56	0.91	1.39	1.69	1.92	2.23	2.49
01/13/15	0.02	0.03	0.08	0.20	0.54	0.88	1.37	1.67	1.91	2.24	2.49
01/14/15	0.02	0.04	0.09	0.18	0.51	0.83	1.33	1.62	1.86	2.20	2.47
01/15/15	0.03	0.03	0.08	0.16	0.44	0.75	1.22	1.53	1.77	2.12	2.40
01/16/15	0.02	0.03	0.07	0.17	0.49	0.80	1.29	1.60	1.83	2.17	2.44
01/20/15	0.01	0.03	0.08	0.17	0.53	0.85	1.31	1.61	1.82	2.15	2.39
01/21/15	0.01	0.03	0.08	0.17	0.53	0.87	1.35	1.66	1.87	2.20	2.44
01/22/15	0.02	0.03	0.08	0.17	0.53	0.90	1.39	1.69	1.90	2.21	2.46
01/23/15	0.02	0.02	0.07	0.17	0.52	0.86	1.33	1.62	1.81	2.12	2.38
01/26/15	0.02	0.03	0.08	0.18	0.54	0.89	1.36	1.64	1.83	2.14	2.40
01/27/15	0.02	0.02	0.08	0.17	0.54	0.87	1.34	1.62	1.83	2.15	2.40
01/28/15	0.02	0.02	0.08	0.17	0.50	0.81	1.25	1.53	1.73	2.05	2.29
01/29/15	0.01	0.03	0.07	0.17	0.51	0.84	1.28	1.59	1.77	2.11	2.33
01/30/15	0.01	0.02	0.07	0.18	0.47	0.77	1.18	1.49	1.68	2.04	2.25
02/02/15	0.01	0.02	0.07	0.17	0.49	0.78	1.19	1.49	1.68	2.07	2.25
02/03/15	0.02	0.02	0.07	0.21	0.52	0.85	1.28	1.60	1.79	2.16	2.37
02/04/15	0.01	0.01	0.06	0.20	0.52	0.86	1.29	1.61	1.81	2.17	2.39
02/05/15	0.02	0.02	0.06	0.20	0.52	0.87	1.30	1.62	1.83	2.20	2.42
02/06/15	0.01	0.02	0.07	0.26	0.65	1.03	1.48	1.77	1.95	2.28	2.51
02/09/15	0.02	0.01	0.08	0.24	0.65	1.04	1.49	1.78	1.96	2.28	2.52
02/10/15	0.02	0.01	0.08	0.25	0.67	1.05	1.52	1.82	2.01	2.33	2.58
02/11/15	0.02	0.01	0.07	0.24	0.67	1.06	1.53	1.83	2.00	2.33	2.57
02/12/15	0.02	0.02	0.07	0.23	0.61	1.02	1.50	1.81	1.99	2.33	2.58
02/13/15	0.02	0.01	0.07	0.23	0.66	1.03	1.53	1.84	2.02	2.39	2.63
02/17/15	0.02	0.02	0.07	0.25	0.70	1.10	1.62	1.95	2.14	2.49	2.73
02/18/15	0.02	0.02	0.07	0.23	0.62	1.00	1.52	1.86	2.07	2.46	2.70
02/19/15	0.02	0.02	0.07	0.23	0.67	1.05	1.58	1.92	2.11	2.50	2.73
02/20/15	0.02	0.02	0.07	0.23	0.67	1.07	1.61	1.94	2.13	2.50	2.73
02/23/15	0.01	0.02	0.08	0.22	0.64	1.03	1.56	1.88	2.06	2.44	2.66
02/24/15	0.02	0.02	0.08	0.22	0.60	0.97	1.47	1.79	1.99	2.38	2.60
02/25/15	0.02	0.02	0.07	0.21	0.61	0.98	1.47	1.78	1.96	2.35	2.56
02/26/15	0.02	0.03	0.07	0.22	0.66	1.04	1.54	1.86	2.03	2.39	2.63
02/27/15	0.02	0.02	0.07	0.22	0.63	1.01	1.50	1.82	2.00	2.38	2.60
03/02/15	0.02	0.02	0.08	0.22	0.66	1.06	1.57	1.89	2.08	2.46	2.68
03/03/15	0.01	0.02	0.08	0.26	0.68	1.09	1.61	1.94	2.12	2.49	2.71
03/04/15	0.01	0.01	0.08	0.26	0.66	1.07	1.60	1.93	2.12	2.49	2.72
03/05/15	0.02	0.02	0.08	0.25	0.65	1.05	1.57	1.90	2.11	2.49	2.71
03/06/15	0.02	0.01	0.08	0.27	0.73	1.16	1.70	2.04	2.24	2.63	2.83
03/09/15	0.01	0.02	0.10	0.27	0.70	1.13	1.66	1.99	2.20	2.58	2.80
03/10/15	0.03	0.02	0.10	0.25	0.70	1.10	1.62	1.94	2.14	2.51	2.73
03/11/15	0.03	0.03	0.10	0.25	0.70	1.09	1.60	1.92	2.11	2.47	2.69
03/12/15	0.03	0.03	0.10	0.24	0.67	1.06	1.59	1.91	2.10	2.47	2.69
03/13/15	0.03	0.03	0.11	0.24	0.68	1.07	1.60	1.93	2.13	2.48	2.70
03/16/15	0.02	0.05	0.15	0.26	0.66	1.06	1.57	1.90	2.10	2.45	2.67
03/17/15	0.05	0.05	0.15	0.27	0.70	1.07	1.56	1.87	2.06	2.40	2.61
03/18/15	0.02	0.03	0.12	0.23	0.57	0.92	1.41	1.73	1.93	2.31	2.51
03/19/15	0.02	0.03	0.12	0.26	0.63	0.99	1.48	1.79	1.98	2.33	2.54
03/20/15	0.00	0.01	0.11	0.24	0.60	0.95	1.42	1.73	1.93	2.29	2.50
03/23/15	0.02	0.03	0.11	0.24	0.60	0.93	1.41	1.71	1.92	2.29	2.51
03/24/15	0.03	0.02	0.11	0.24	0.58	0.91	1.37	1.68	1.88	2.24	2.46
03/25/15	0.02	0.04	0.11	0.25	0.59	0.94	1.41	1.73	1.93	2.28	2.50
03/26/15	0.02	0.03	0.13	0.28	0.61	0.98	1.47	1.81	2.01	2.37	2.60
03/27/15	0.02	0.04	0.12	0.27	0.58	0.92	1.42	1.74	1.95	2.29	2.53
03/30/15	0.02	0.04	0.14	0.27	0.58	0.93	1.41	1.74	1.96	2.32	2.55
03/31/15	0.05	0.03	0.14	0.26	0.56	0.89	1.37	1.71	1.94	2.31	2.54
04/01/15	0.02	0.03	0.12	0.27	0.55	0.86	1.32	1.65	1.87	2.23	2.47
04/02/15	0.02	0.02	0.10	0.25	0.55	0.87	1.35	1.69	1.92	2.29	2.53
04/03/15	0.04	0.02	0.10	0.21	0.49	0.80	1.26	1.60	1.85	2.24	2.49
04/06/15	0.02	0.03	0.10	0.21	0.51	0.83	1.31	1.67	1.92	2.31	2.57
04/07/15	0.02	0.02	0.10	0.22	0.52	0.85	1.32	1.66	1.89	2.27	2.52
04/08/15	0.02	0.03	0.10	0.22	0.54	0.86	1.35	1.68	1.92	2.28	2.53
04/09/15	0.02	0.03	0.10	0.22	0.56	0.89	1.40	1.73	1.97	2.35	2.61
04/10/15	0.01	0.02	0.09	0.24	0.57	0.91	1.41	1.73	1.96	2.33	2.58
04/13/15	0.02	0.03	0.11	0.23	0.54	0.89	1.38	1.71	1.94	2.33	2.58
04/14/15	0.02	0.02	0.10	0.23	0.53	0.85	1.34	1.67	1.90	2.29	2.54
04/15/15	0.02	0.02	0.08	0.23	0.51	0.85	1.33	1.66	1.91	2.30	2.55
04/16/15	0.03	0.02	0.08	0.22	0.50	0.81	1.31	1.64	1.90	2.31	2.56
04/17/15	0.03	0.01	0.08	0.23	0.51	0.84	1.31	1.63	1.87	2.26	2.51
04/20/15	0.03	0.03	0.10	0.24	0.55	0.86	1.33	1.65	1.90	2.31	2.56
04/21/15	0.02	0.03	0.09	0.23	0.55	0.86	1.35	1.67	1.92	2.33	2.58
04/22/15	0.01	0.03	0.10	0.23	0.57	0.91	1.41	1.75	1.99	2.42	2.66
04/23/15	0.01	0.03	0.09	0.24	0.55	0.87	1.37	1.70	1.96	2.38	2.63
04/24/15	0.03	0.03	0.10	0.24	0.54	0.84	1.34	1.68	1.93	2.36	2.62
04/27/15	0.01	0.02	0.10	0.25	0.54	0.87	1.36	1.69	1.94	2.36	2.61
04/28/15	0.00	0.02	0.09	0.24	0.56	0.90	1.39	1.75	2.00	2.42	2.68
04/29/15	0.00	0.01	0.07	0.25	0.56	0.91	1.43	1.80	2.06	2.49	2.76
04/30/15	0.00	0.01	0.06	0.24	0.58	0.91	1.43	1.79	2.05	2.49	2.75
05/01/15	0.00	0.01	0.05	0.25	0.60	0.97	1.50	1.87	2.12	2.57	2.82
05/04/15	0.01	0.02	0.08	0.25	0.60	0.96	1.51	1.90	2.16	2.62	2.88
05/05/15	0.01	0.01	0.08	0.24	0.62	1.00	1.54	1.92	2.19	2.64	2.90
05/06/15	0.02	0.02	0.08	0.25	0.65	1.03	1.58	1.97	2.25	2.72	2.98
05/07/15	0.01	0.01	0.08	0.24	0.63	1.02	1.55	1.93	2.18	2.63	2.90
05/08/15	0.01	0.01	0.08	0.23	0.59	0.96	1.50	1.89	2.16	2.63	2.90
05/11/15	0.02	0.02	0.09	0.25	0.62	1.02	1.59	2.00	2.28	2.76	3.03
05/12/15	0.01	0.03	0.09	0.25	0.61	1.00	1.58	2.00	2.28	2.75	3.02
05/13/15	0.02	0.02	0.09	0.24	0.59	0.97	1.57	2.00	2.27	2.79	3.07
05/14/15	0.00	0.01	0.08	0.23	0.56	0.91	1.51	1.94	2.23	2.76	3.03
05/15/15	0.02	0.02	0.09	0.23	0.55	0.90	1.46	1.87	2.14	2.66	2.93
05/18/15	0.01	0.02	0.08	0.22	0.58	0.95	1.54	1.95	2.23	2.75	3.02
05/19/15	0.02	0.02	0.07	0.23	0.63	1.01	1.60	2.01	2.27	2.79	3.05
05/20/15	0.02	0.02	0.08	0.23	0.60	0.98	1.57	1.98	2.26	2.79	3.06
05/21/15	0.02	0.02	0.07	0.22	0.60	0.95	1.53	1.92	2.19	2.71	2.98
05/22/15	0.01	0.02	0.08	0.23	0.64	1.01	1.57	1.96	2.21	2.73	2.99
05/26/15	0.01	0.02	0.09	0.24	0.64	0.99	1.54	1.90	2.14	2.64	2.89
05/27/15	0.02	0.01	0.09	0.27	0.64	1.00	1.53	1.90	2.14	2.63	2.88
05/28/15	0.01	0.01	0.08	0.26	0.62	0.97	1.51	1.89	2.13	2.64	2.89
05/29/15	0.01	0.01	0.06	0.26	0.61	0.94	1.49	1.86	2.12	2.63	2.88
06/01/15	0.02	0.02	0.07	0.26	0.64	0.99	1.55	1.93	2.19	2.69	2.94
06/02/15	0.02	0.01	0.07	0.26	0.64	1.02	1.61	2.01	2.27	2.77	3.02
06/03/15	0.02	0.02	0.07	0.26	0.69	1.07	1.69	2.12	2.38	2.87	3.11
06/04/15	0.02	0.02	0.08	0.27	0.66	1.04	1.65	2.05	2.31	2.78	3.03
06/05/15	0.02	0.03	0.08	0.29	0.73	1.13	1.75	2.16	2.41	2.87	3.11
06/08/15	0.01	0.02	0.09	0.27	0.70	1.09	1.72	2.13	2.39	2.86	3.11
06/09/15	0.01	0.02	0.08	0.27	0.72	1.12	1.74	2.16	2.42	2.89	3.15
06/10/15	0.01	0.02	0.10	0.28	0.75	1.15	1.80	2.22	2.50	2.96	3.22
06/11/15	0.01	0.01	0.10	0.28	0.73	1.12	1.74	2.14	2.39	2.84	3.11
06/12/15	0.01	0.02	0.10	0.28	0.74	1.12	1.75	2.15	2.39	2.84	3.10
06/15/15	0.00	0.02	0.11	0.28	0.72	1.10	1.71	2.11	2.36	2.83	3.09
06/16/15	0.00	0.01	0.11	0.28	0.71	1.08	1.68	2.07	2.32	2.79	3.06
06/17/15	0.00	0.01	0.10	0.27	0.67	1.03	1.63	2.05	2.32	2.82	3.09
06/18/15	0.00	0.01	0.08	0.26	0.66	1.03	1.65	2.08	2.35	2.86	3.14
06/19/15	0.00	0.01	0.05	0.25	0.65	0.99	1.59	1.99	2.26	2.76	3.05
06/22/15	0.00	0.01	0.08	0.27	0.68	1.06	1.68	2.10	2.37	2.87	3.16
06/23/15	0.00	0.01	0.09	0.30	0.70	1.07	1.71	2.14	2.42	2.92	3.20
