Date,Open,High,Low,Close,Adj_Close,Volume
1/3/1995,45.703098,45.8437,45.6875,45.7812,30.275391,324300
1/4/1995,45.984299,46,45.75,46,30.420086,351800
1/5/1995,46.0312,46.109299,45.953098,46,30.420086,89800
1/6/1995,46.0937,46.25,45.9062,46.046799,30.451038,448400
1/9/1995,46.0312,46.0937,46,46.0937,30.482042,36800
1/10/1995,46.203098,46.390598,46.140598,46.140598,30.513081,229800
1/11/1995,46.296799,46.296799,45.8125,46.171799,30.533699,222400
1/12/1995,46.125,46.2187,46.0312,46.1875,30.544081,40300
1/13/1995,46.4375,46.734299,46.375,46.734299,30.905701,170600
1/16/1995,46.7187,47.0312,46.7187,47.015598,31.091705,105100
1/17/1995,46.921799,47.0625,46.859299,47.0312,31.102015,89500
1/18/1995,47,47.078098,46.875,46.984299,31.071012,84500
1/19/1995,46.828098,46.875,46.6875,46.7187,30.89538,139100
1/20/1995,46.6562,46.671799,46.453098,46.546799,30.781704,78700
1/23/1995,46.234299,46.6875,46.203098,46.6875,30.874735,53700
1/24/1995,46.671799,46.75,46.640598,46.75,30.916059,32400
1/25/1995,46.515598,47.046799,46.515598,46.875,30.998739,15700
1/26/1995,46.8437,46.984299,46.75,46.921799,31.029686,9800
1/27/1995,47.234299,47.234299,46.921799,47.109299,31.153667,91200
1/30/1995,47.015598,47.046799,46.8437,46.9062,31.019354,26600
1/31/1995,47,47.171799,46.921799,47.0937,31.143364,127500
2/1/1995,47.1562,47.328098,47,47.078098,31.133053,380200
2/2/1995,47.0625,47.359299,47.0625,47.359299,31.319002,131700
2/3/1995,47.6562,48.109299,47.578098,48.0312,31.763346,405100
2/6/1995,48.015598,48.375,47.9687,48.234299,31.897646,405400
2/7/1995,48.3125,48.3125,48.140598,48.296799,31.938972,702900
2/8/1995,48.234299,48.4687,48.203098,48.296799,31.938972,521500
2/9/1995,48.2187,48.296799,48.125,48.296799,31.938972,390700
2/10/1995,48.234299,48.359299,48.0937,48.359299,31.980305,148300
2/13/1995,48.328098,48.4687,48.328098,48.375,31.990705,79700
2/14/1995,48.5312,48.5312,48.25,48.4375,32.032036,170200
2/15/1995,48.4375,48.765598,48.390598,48.703098,32.207676,431500
2/16/1995,48.640598,48.6875,48.5,48.640598,32.16634,99300
